Name,Category,Followers,Description
Bangladesh Software Solution,IT Services and IT Consulting • Dhaka,2K followers,"Over 9 years BSS provides high-quality professional ICT consulting services and software development solutions in the areas of Business, Administrative and Industrial Automation. Our expertise covers all phases of the software life cycle:  Specification and feasibility Design, development, test and implementation..."
Bangladesh Software Development (BSD),"Software Development • Khilkhet, Dhaka",628 followers,...Development: Your Trusted Partner for IT Success in Bangladesh.
Bangladesh IT Institute,"IT Services and IT Consulting • Dhaka, Dhaka",2K followers,The mission of Bangladesh IT Institute is to provide international standard education in Bangladesh and thereby helping the society to build up a skilled...
Bangladesh Ace Encoders Ltd.,"Information Technology & Services • UTTARA, DHAKA",110 followers,"Bangladesh Ace Encoders Ltd. is a pioneer in the field of information technology in Bangladesh. We started our journey as a software development company and soon expanded our services to cover web design, web development, mobile app development, and digital marketing. We are a team of digital marketing experts..."
Software Development School,"IT Services and IT Consulting • Dhaka, Gulshan",188 followers,"Software Development School is an online school for skill based programming training. Our main focus is to create skilled people. We also create various software like Mobile Apps, Web Design & Development, Software Testing, Graphics & UI/UX.  All our teachers have at least 4 years of experience working in software..."
Software Capital Lead,"Strategic Management Services • Dhaka, Dhaka",274 followers,...Company in Bangladesh and Best Software Development Company in Bangladesh. Our Intention is to provide fully interactive and cost effective solutions...
Software Solution Company,"IT Services and IT Consulting • Dhaka, Dhaka",238 followers,"Software Solution Company is a modern software development company in Bangladesh run by a group of professional software engineers are highly skilled in Payroll Software, POS Software, school Management Software, Inventory Software and online Medicine and pharmacy management software development in Bangladesh. We all..."
Software Global Consultancy,Software Development • Dhaka,300 followers,"Software Global Consultancy aka SGC is an offshore software company offering Enterprise, Web and Mobile based solutions to worldwide clients since 2007. Our..."
Software Valley,"Software Development • Brahmanbaria, College Para Road",167 followers,"Software Valley offers Full stack development, Web design, and Digital marketing. Our agile methodologies enable us to effectively handle software projects..."
Software Arena LTD,"Software Development • Dhaka, Bangladesh",125 followers,"**About Software Arena LTD:** Software Arena LTD is a pioneering ICT and support service organization operating in the dynamic market of Bangladesh since 2000. With a perfect blend of seasoned management experience and a team of technical experts, we have carved a prominent position in the software industry..."
Bangladesh Robotics Foundation,"IT Services and IT Consulting • Dhaka, Dhaka",165 followers,"Introduction : Bangladesh Robotics Foundation is an independent, non-profit, community organization which was established in 2017 at Dhaka, Bangladesh by a..."
Bangladesh SME Corporation Limited,"Dhaka, Dhaka",313 followers,"...and maintaining proper regulatory compliance, financial management and planning, and audit. These findings resulted in the development of our software based management..."
Software Home,"IT Services and IT Consulting • Narayangonj, Dhaka",53 followers,"If you are looking for a reliable dedicated development team, with flexibility in mind, we have the recruitment capacity and an existing talent pool to help you create a team that fulfills your needs. The hiring and onboarding process can be tailored to your requirements, so you are always in control of today's..."
software Experienced Zone,IT Services and IT Consulting,68 followers,"Softexzone, an outsourcing service provider company in Bangladesh, has numerous expertise for accomplishment any requirements in areas of Graphics Design, Web Design & Development, Software, and SEO / Internet Marketing. Its mother company is ClusterBD who has been working since 2002 with the highest gratification..."
Software Builders Limited,Software Development • Khulna,40 followers,The Software Builders Limited (SBL) is a software development company dedicated to providing end to end solutions for your business. We help enterprises ideas te of products perfectly tailored to their customer needs. Our scientific approach in working with requirements on par with our vast business expertise allows...
Software Chamber,"IT System Custom Software Development • dhaka, dhaka",51 followers,"Overview Welcome to Software Chamber, a dynamic software development company dedicated to transforming your innovative ideas into powerful, user-friendly..."
Bangladesh Associate of IT Solution,"Technology, Information and Internet • Dhaka, Dhaka",77 followers,"...Digital CCTV Camera, DVR, NVR, POE IP Camera, Wireless Camera, Dome Camera, Graphics Design, Interior Design, Networking, Webpage Design and Development, Software..."
Software IT,Software Development • Dhaka,26 followers,Software IT is a Global Web Development and Software Development Company
"Hire IT People, Inc","IT Services and IT Consulting • Piscataway, New Jersey",94K followers,We get I.T done! • Specialties: software development
Kaz Software,"Software Development • Dhaka, Dhaka",40K followers,"Established in 2004, Kaz Software is an award winning custom software development company.   We help enterprises and startups design, build and launch innovative products. We work with our clients as an integrated team - empowering them to deliver better, faster and at lower cost."
Astha.IT,"IT Services and IT Consulting • New York, New York",28K followers,"...communicate well in English.  We are an AWS partner and ISO 9001:2015 (QMS) certified software development company, which received awards from the Government of Bangladesh for being the top software exporting company in 2013, 2014 and 2020."
ReliSource,"IT Services and IT Consulting • Bedford, MA",24K followers,...Technology Solutions & Services in diversified industries and bespoke Software Developments for enterprises mainly in USA & Europe.    Headquartered in Boston...
a1qa,"IT System Testing and Evaluation • Decatur, Georgia",24K followers,"...successfully delivered 1,500+ projects in IT and software development, telecom, gaming, FinTech, eHealth, eCommerce, BFSI, M&E, real estate, utilities and energy..."
SJ Innovation LLC,Software Development • New York,20K followers,"Established in 2004, SJ Innovation has completed more than a decade in the software industry. We specialize in providing IT solutions worldwide having expertise in web and mobile development with end-to-end solutions.   Our head office is based in New York City with branches in India and Bangladesh. Our primary focus..."
SVAM International Inc.,"Information Technology & Services • Great Neck, New York",19K followers,...staff augmentation  SVAM’s Software app. development process leverages its Correct ShoreSM global delivery model. We have adapted its business and delivery...
Therap Services,"Software Development • Torrington, Connecticut",20K followers,"...and government entities. Therap’s robust development and operations teams possess decades of experience in IT security and development, and that expertise is reflected in a..."
iBCScorp,"IT Services and IT Consulting • Twin Falls, ID",11K followers,"Helping Business Grow through IT Staffing, Software development and Digital Marketing.  iDeliver - Success!"
Dream71 Bangladesh Ltd.,"Software Development • Dhaka, Dhaka",25K followers,"...and hard-works are rewarded. At Dream71 we always endeavor to lead towards development and creating a flexible, dynamic and successful company.    Dream71 Bangladesh is one of the promising mobile application & game development companies of Bangladesh which aims at creating a new standard in the era of software technology..."
SourceTrace,"IT Services and IT Consulting • Cambridge, Massachusetts",8K followers,"...of solutions includes farm management, supply chain management, monitoring & evaluation, certification, traceability, market linkage and financial services. Founded in..."
Softronixs System Ltd.,"Software Development • Queens Village, New York",3K followers,Softronixs System Ltd. is one of the leading Software company in Based in Bangladesh. Softronixs Provide an effective ERP solution for companies. We Have...
PeopleNTech,"IT Services and IT Consulting • Vienna, VA",6K followers,"Established in 2005, PeopleNTech is a GSA Schedule 70 holder, Small, Woman and Minority owned Business. We are a Global Technology company with Customer Focus..."
