Job_title,Location,Work_environment,Work_time,Experience_level,Description,Company_name
Quality Assurance Engineer (For TechForing Ltd) - Job ID : 1283291,"Dhaka, Bangladesh",On-site,Full-time,Executive,"TechForing Ltd is looking for Quality Assurance Engineer

Job Description / Responsibility
We are looking for a Software Quality Assurance Engineer who will be responsible for ensuring that software products and systems meet the desired quality standards. This involves designing and implementing testing processes and procedures, identifying and reporting defects, and collaborating with developers to improve the quality of software products.
Responsibilities:
Design, develop and execute test plans and test cases for software applications.
Conduct manual and automated tests to ensure that software products and systems meet quality standards.
Identify, track, and report defects and issues in software products and systems.
Collaborate with developers to troubleshoot and resolve issues, ensuring that software products are defect-free.
Design and implement automated testing scripts to improve testing efficiency and accuracy.
Ensure that software products meet customer requirements, industry standards, and best practices.
Develop and maintain documentation related to software testing processes and procedures.
Stay up-to-date with emerging trends, tools, and technologies related to software quality assurance.
Participate in code reviews and provide feedback to developers on improving the quality of software products.
Requirements:
Bachelor`s degree in computer science or related field.
Knowledge of software development methodologies and practices.
Experience with software testing tools and techniques.
Familiarity with programming languages such as Java, Python, and C++.
Understanding of SQL and databases.
Strong analytical and problem-solving skills.
Excellent written and verbal communication skills.
Ability to work independently as well as in a team environment.
Attention to detail and the ability to multitask effectively.
Educational Requirements
Bachelor of Science (BSc) in Computer Science & Engineering
Experience Requirements
1 to 2 year(s)
The applicants should have experience in the following business area(s):
Software Company,IT Enabled Service
Job Location
Dhaka (DOHS Baridhara)",Bdjobs.com
Head-end system Engineer (For Oculin Tech BD Ltd.) - Job ID : 1284316,"Dhaka, Bangladesh",On-site,Full-time,Executive,"Oculin Tech BD Ltd. is looking for Head-end system Engineer

Job Description / Responsibility
Should have good knowledge in Smart Metering, HES in AMI space;
Working Knowledge of Various communication protocols and Metering standards;
Deployment & implementation of HES (Head End System) for P2P GPRS,RF, Smart Meter Protocol mapping, Data decryption, Security protocols implementation, Device Configuration, and management of Smart meters;
Setting up Test and production environment on the Cloud with VLAN & Zabbix configurations;
Automated Meter Operations, Meter data acquisition/ collection Scheduling, Firmware upgradation, Time Synchronization, Data consistency for Billing Determinants, Task manager, event handling, service order management, etc;
Develop/Configure Consumer Indexing format, SIM management, Electrical Asset mapping & Business process/logic;
Meter key management with all security standards;
Configurations of HES functionality as per project need, configuration of Communication Gateway as per the network design in IPv4 & IPv6;
Review & validate the As-IS and To-Be design documentation furnished by OEM, Responsible for all design & test documentation reviews & approval from the client (thru project management team);
Responsible for deployment, data migration, solution performance, use case prep, and commissioning tests till Go-Live;
Provide training to End users & internal team;
Understand customer requirements, and prepare all the Detailed Engineering documents like System Architecture, EBOM, Solution Write-up, FRS, SRS etc. for relevant technologies and solutions
Educational Requirements
Bachelor of Science (BSc) in Computer Science & Engineering
Experience Requirements
2 to 4 year(s)
The applicants should have experience in the following business area(s):
IT Enabled Service,Group of Companies",Bdjobs.com
"Senior Software Engineer ( .NET , React / Blazor) - (For Link3 Technologies Limited)-Job ID: 1284202","Dhaka, Bangladesh",On-site,Full-time,Executive,"Link3 Technologies Limited is looking for Senior Software Engineer ( .NET , React / Blazor)

Job Description / Responsibility
Link3 Technologies Ltd. is looking for Software Engineer specializing in the Microsoft platform, the incumbent will design, develop, and maintain software solutions using Microsoft technologies such as .NET, C#, Azure, and related tools. This role involves collaborating with cross-functional teams to deliver scalable, high-quality applications that meet business requirements. S/he will be responsible for the full software development lifecycle, from requirement gathering to deployment and support.
Key Responsibilities:
Software Development:
Design, develop, and maintain software applications using Microsoft technologies such as .NET (C#, ASP.NET), and the Azure cloud platform.
Write clean, scalable, and efficient code following best practices, design patterns, and coding standards.
Develop backend services, APIs, and integrations with third-party systems.
System Design & Architecture:
Participate in the design and architecture of software solutions, ensuring they are scalable, secure, and high performing.
Azure Cloud Development:
Develop cloud-based applications and services leveraging Azure technologies like Azure Functions, Azure App Services, Azure DevOps, and Azure Storage.
Implement cloud-native patterns such as microservices, serverless architectures, and event-driven designs.
Collaboration & Agile Practices:
Work closely with product owners, business analysts, and other team members to understand requirements and translate them into technical solutions.
Participate in Agile ceremonies such as sprint planning, daily stand-ups, and retrospectives.
Collaborate with QA engineers to ensure high software quality and assist in test automation efforts.
Maintenance & Support:
Troubleshoot, debug, and resolve software issues in production and non-production environments.
Optimize and refactor existing code for better performance, scalability, and maintainability.
Provide technical support and guidance during deployments and releases.

Educational Requirements
Bachelor of Science (BSc) in Computer Science & Engineering

Experience Requirements
At least 5 year(s)
The applicants should have experience in the following business area(s): ISP

Job Location
Dhaka",Bdjobs.com
System Engineer - For International Office Machines Ltd- Job ID - 1277831,"Dhaka, Bangladesh",On-site,Full-time,Mid-Senior level,"International Office Machines Ltd is looking for System Engineer

Job Description / Responsibility
Install, Troubleshoot and Resolve the problem of desktop/laptop, server, Barcode Printer and network connectivity.
Working directly with customers to address their needs and concerns.
Investigating and diagnosing technical issues reported by customers, which may involve analyzing log files, replicating problems in a test environment, and working with development teams to identify and implement solutions.
Assist to manage office’s internal network issue
Assisting customers with applying software updates, patches, and security fixes to IT products.
Staying up-to-date with the latest technologies, trends, and best practices related to the IT products being supported.

Educational Requirements
Diploma in Computer
Skills Required: Computer skill

Experience Requirements
At least 5 year(s)

Additional Requirements
The applicants should have at least 05 years of experience in the related field.
Prior experience in customer service or technical support roles for understanding customer needs and resolving issues effectively.
Practical knowledge on Windows all Operating System installation and configuration with various software applications.
Effective communication skills, as they often interact with customers to troubleshoot issues and provide assistance. This includes both verbal and written communication skills.
Work directly with customers to address their needs and concerns helps develop the interpersonal skills",Bdjobs.com
OSS Engineer,"Dhaka, Bangladesh",On-site,Full-time,Mid-Senior level,"Responsibilities：
1. Be responsible for OSS tool requirement analysis and solution development;
2. Development, interconnection, debugging and launch of OSS tools;
3. Responsible for routine maintenance of OSS tools to ensure normal operation;
4. Optimizes the OSS tools and launches the development of new requirements.
5. Responsible for building the IT environment of the office, the IT environment of the OSS tool, and the maintenance of IT-related hardware/software; 

Qualificationｓ: 
1.Must hold junior college degree or above.
2.More than 2 years experience in NOC (Network Operation Center) FO (Front Office) or HelpDesk or other relevant work.
3.Know very vell for IT technology
4.Understand workflows and processes.
5.Excellent written and verbal communication in English and interpersonal skills.
6.Good skill with Office software etc.",ZTE Corporation
Python Developer,"Dhaka, Bangladesh",Hybrid,Full-time,Mid-Senior level,"Job Title: Python Developer
Work Experience: 4-10 years
Work Location: Dhaka, Bangladesh
Must Have Skills: Python, Django, Flask, API
Good To Have Skills: Snowflake, MongoDB, Redshift/Postgres, graph databases, Spark

The Orchestrated Analytics team is looking for Software Engineers focusing on microservice architecture, cloud computing and scalability within our SaaS and mobile products which deliver highly available and scalable data management, analytics and AIML capabilities to our largest pharmaceutical clients.


Principle Responsibilities:
Develop APIs and data pipelines using Python best practices
Produce efficient, high quality Python code that ensures system performance and scalability
Design and develop proof-of-concept solutions
Undertake integration of 3rd party services
Work closely with data scientists and machine learning engineers to develop microservices and pipelines that support algorithm development
Conduct code reviews with fellow software engineers
Implement unit and integration tests
Create and maintain comprehensive documentation
Employ version control and CI/CD best practices


Technical Experience:
1-3 years relevant experience in software development
Excellent Python development skills
Strong expertise with SQL and database
Experience building APIs
Strong object-oriented design and programming skills
Experience with Python testing frameworks (unit test, pytest)
Experience with version control and working in a Linux environment
A passion for creative problem solving
Experience distilling and presenting complex concepts to a non-technical audience
Excellent communication (written and oral) and interpersonal skills
Experience with database and data processing frameworks like Snowflake, MySQL, MongoDB, Redshift/Postgres, graph databases, and Spark
Background in statistics, data science, and machine learning techniques
Understanding of CI/CD pipelines and experience working with Gitlab
Experience working with Docker, Kubernetes and microservices architecture
Experience with Test Driven Development
Experience with DevOps processes and tools
Experience working with AWS or other cloud services
Experience implementing complex back-end functionalities and integrations with multiple 3rd party systems and services.


Educational Qualification: BS in Computer Science (or other related discipline)",IQVIA
Full Stack Developer,"Uttara, Dhaka, Bangladesh",On-site,Full-time,Mid-Senior level,"Job Title: Full Stack Developer
Location: Sector:10, Uttara, Dhaka, Bangladesh
Company: Prospect Engine LLC
Work Schedule: On-site, 5 days a week (2 days weekend)

About Us:

Prospect Engine is a dynamic B2B digital marketing agency dedicated to helping businesses achieve their growth objectives through innovative marketing solutions. We specialize in delivering customized strategies that drive leads, enhance brand visibility, and foster business expansion.

Job Description:

We are seeking a talented and adaptable Full Stack Developer to join our team in Dhaka and contribute to our flagship SaaS project, *sendout.ai*. The ideal candidate should have a strong focus on Next.js and NestJS, along with a solid foundation in TypeScript and a willingness to learn whatever technologies are required to drive the project forward.

Key Responsibilities:

Develop and maintain scalable backend services using NestJS.
Build and enhance front-end functionality using Next.js.
Write clean, maintainable, and efficient TypeScript code.
Implement containerization using Docker and Docker Compose for development and deployment.
Collaborate with cross-functional teams to ensure seamless integration between the front-end and back-end.
Troubleshoot and debug applications to optimize performance.
Stay up-to-date with new technologies and be proactive in acquiring new skills as needed.
Work in an Agile/Scrum environment, contributing to sprint planning and reviews.


Requirements:

Employee must live in Uttara or nearby Uttara.
Minimum of 2 years of professional experience in full-stack.
Proficiency in Next.js, NestJS, and TypeScript.
Strong experience with Docker and Docker Compose.
Ability to learn new technologies quickly and apply them effectively.
Solid problem-solving skills and attention to detail.
Excellent communication and teamwork abilities.
Ability to work independently and manage time effectively.


Preferred Qualifications: 

Knowledge of cloud services (AWS, Google Cloud, Azure).
Experience with CI/CD pipelines.
Familiarity with Playwright/Puppeteer/Selenium
Familiarity with Kafka for real-time data processing.
Linux administration experience.
Contributions to open-source projects or a strong GitHub profile.

Salary: Negotiable. Range BDT 40,000 – 60,000, based on experience.

Benefits:

Saturday, Sunday weekend
Fully subsidized lunch facilities
Yearly performance appraisals
2 festive bonuses in a year
Parental leaves
Compassionate leaves
Paid overtime facilities
Opportunity to work on innovative and impactful projects.
Professional growth and development opportunities.
Collaborative and supportive team culture.


How to Apply:
If you meet the above requirements and are excited about the opportunity to work on a cutting-edge project like SendOut.ai, please fill out the application form with your details and submit your resume and cover letter through the form. https://shorturl.at/a5I43

Join us at Prospect Engine LLC and contribute to shaping the future of AI-driven business Solutions! 
Prospect Engine LLC is an equal-opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.",Prospect Engine LLC
Report Developer,"Dhaka, Dhaka, Bangladesh",Full-time,Mid-Senior level,null,"Who We Are

Kontoor Brands, Inc. (KTB) is the parent company of Wrangler®, Lee® and Rock & Republic®, with owned manufacturing facilities in Mexico and Nicaragua. Kontoor also owns and operates over 140 retail stores across the globe. Our global company employs more than 15,000 people in 65 countries, with world headquarters in Greensboro, North Carolina, and regional headquarters in Geneva and Hong Kong.

Job Posting

Key requirements - Having expirence in various report developing using computer programming skills.

Education And/or Certification Requirements

Min Bachelor of Science in Computer Science and Engineering

Job Responsibility

Content creation and maintenance for Sharepoint hosting site

Report, Smartsheet apps development and ongoing maintenance

Resolve and troubleshoot errors with reporting.

Prepare Training materials and arrange training to platform users

Experience requirement min 3 years

Skills Required To Do This Role

 Proficient in Power BI, Power Automate, Power Aps, Smartsheet, and SharePoint 
Good command of spoken and written English.
Able to communicate effectively with internal functions
Confident with “Can do” attitude

Why Kontoor Brands?

At Kontoor, we offer a comprehensive benefit package to fit your lifestyle and our benefits are crafted with the same care as our products.

When our employees are healthy, secure and well, they bring their best selves to work. Kontoor Brands supports you with a competitive benefits program that provides choice and flexibility to meet your and your family’s needs – now and in the future. We offer resources to support your physical, emotional, social and financial wellbeing, plus benefits like discounts on our apparel. Kontoor Brands also provides four weeks of Paid Parental Leave to eligible employees who are new parents, Flexible Fridays and tuition reimbursement.

Our Kontoor D&I Mission

At Kontoor, we believe that D&I is a key enabler to a culture that empowers us to work with passion and confidence, shaping our brand and future.

Our Kontoor D&I Commitment

Create a global workforce of high-performing teams that both unlocks our individual uniqueness and harnesses our collaborative talents
Ensure an equitable environment that attracts & promotes diverse workforce
Foster inclusivity, ensuring employees feel they can bring their whole selves to work","Kontoor Brands, Inc."
Developer,"Dhaka, Dhaka, Bangladesh",On-site,Full-time,null,"Manage overall operation of Ericsson Charging System.
Health check of IN related nodes, i.e. CCN, SDP, AIR, NGVS, SAPC, vSAPC. 
Perform ICP upgradation, EP load of IN related nodes, i.e. CCN, SDP, AIR, NGVS, SAPC. 
Replace faulty hardware like IO, FS, TP of CCN and conduct with vendor for other nodes. 
Operational alert integration and do the automation of the operational activities.
Application maintenance activity, Database maintenance activity, Incident Management and Product configuration support are the regular activities to be performed. 
Emergency Tickets handling, Customer complain handling and RCA reporting are the part of regular responsibilities.

BSS - Charging Systems",Wipro
IDT Data Scientist,"Dhaka, Dhaka, Bangladesh",Full-time,Mid-Senior level,null,"BAT is evolving at pace - truly like no other organisation. 

To achieve the ambition, we have set for ourselves, we are looking for colleagues who are ready to live our ethos every day. Come be a part of this journey!

BAT BANGLADESH IS LOOKING FOR AN IDT DATA SCIENTIST 

SENIORITY LEVEL Mid-senior Level

FUNCTION  Information & Digital Technology

SALARY RANGE Competitive Salary + excellent benefits + market leading bonus

LOCATION Dhaka, Bangladesh

ROLE POSITIONING AND OBJECTIVES

The Data Scientist will play a critical role in advancing BAT’s data-driven decision-making capabilities. The role is responsible for developing dashboards, prescriptive and predictive models, and advanced analytics solutions that drive strategic business insights alongside coordinating with vendors of BAT related to Analytics Projects. The Data Scientist will work closely with cross-functional teams to identify opportunities for leveraging company data to drive business solutions, create actionable insights, and contribute to the continuous improvement of the company’s data infrastructure and analytical capabilities.

Reports to Senior Manager – IDT Data & Analytics

Reporting Level Senior Level

Geographic Scope Bangladesh

What You Will Be Accountable For

Data-Driven Solution Creation and Management

Identify & Develop Solutions Collaborate with business units to identify opportunities and design data-driven solutions tailored to specific challenges.
Analyze & Interpret Data Conduct in-depth analysis to uncover insights that inform strategic decision-making and optimize business processes.
Measure & Report Impact Continuously monitor the effectiveness of data-driven initiatives, providing insights and reports to stakeholders.
Collaborate & Innovate Work with cross-functional teams and stay updated on industry trends to bring innovative solutions to the business.

Business Partnering

Support Strategic Initiatives Provide data insights and analytical support to drive strategic decision-making and enhance business performance.
Enable Data-Driven Culture Empower business functions by promoting data-driven thinking and helping them utilize data for problem-solving and innovation.
Foster Relationships Build and maintain strong relationships with key stakeholders to ensure alignment and successful implementation of data initiatives.

Essential Experience, Skills, And Knowledge

Bachelor's degree in a relevant field (e.g., Data Science, Statistics, Business Analytics, Economics or a related discipline).
A minimum of 3 years of professional experience in data analysis, with a strong background in the FMCG or related industry.
Proficiency in SQL and PowerBI is required; proficiency in Python/R is an added advantage.
Experience in implementing ML and AI solutions, preferably in FMCG or relevant industry
Strong analytical thinking and problem-solving abilities.
Outstanding communication and presentation skills, with the ability to convey complex findings to non-technical stakeholders.
Proven project management skills, with a track record of successfully managing multiple projects simultaneously.
Familiarity with cloud computing platforms such as AWS, Azure, or Google Cloud, especially in deploying and managing data pipelines, ML models, and other analytics tools.

BENEFICIAL

Self-motivated, detail-oriented, and able to work both independently and collaboratively within a team.
Understanding of data privacy, security, and governance practices, and ensuring compliance with relevant regulations and standards.
Experience with big data technologies (e.g., Hadoop, Spark) for processing and analyzing large datasets.

WE ARE BAT

At BAT we are committed to our Purpose of creating A Better Tomorrow. This is what drives our people and our passion for innovation. See what is possible for you at BAT.

Global Top Employer with 53,000 BAT people across more than 180 markets
Brands sold in over 200 markets, made in 44 factories in 42 countries
Newly established Tech Hubs building world-class capabilities for innovation in 4 strategic locations 
Diversity leader in the Financial Times and International Women’s Day Best Practice winner
Seal Award winner – one of 50 most sustainable companies 

BELONGING, ACHIEVING, TOGETHER

Collaboration, diversity and teamwork underpin everything we do here at BAT. We know that collaborating with colleagues from different backgrounds is what makes us stronger and best prepared to meet our business goals. Come be the change!",BAT
