Job_title,Location,Work_environment,Work_time,Experience_level,Description,Company_name
"Intern (Paid), Walton Mobile - For Walton Digi-Tech Industries Limited. - Job ID : 1297704","Gazipur District, Dhaka, Bangladesh",On-site,Internship,null,"Walton Digi-Tech Industries Limited is looking for Intern (Paid), Walton Mobile

Job Description / Responsibility
We`re looking for a talented Intern to join our team and assist in various aspects of our Research and Innovation (R&I) services. The duration of the internship will be 03(three) months. This internship is an excellent opportunity to learn from experts, develop individual skills, and contribute to the success of the organization.
Research and Development: Assist in the design and development of mobile applications or technologies, contributing to innovative solutions and features.
Collaboration: Work closely with cross-functional teams, including designers, product managers, and other developers, to understand project requirements and deliver on goals.
Market Research: Conduct research on emerging mobile technologies and industry trends to identify opportunities for innovation.
User Experience (UX) Support: Assist in gathering user feedback and conducting usability testing to improve the user experience of applications.
Learning and Development: Stay updated with the latest mobile development frameworks and tools, and participate in training sessions or workshops.
Support and Maintenance: Help in the maintenance and support of existing applications, addressing bugs and implementing updates as needed.
Documentation: Maintain clear documentation of code, processes, and project milestones to facilitate knowledge sharing and project tracking.

Educational Requirements
Bachelor of Science (BSc) in Electrical & Electronic Engineering
Bachelor of Science (BSc) in Electronics and Telecommunication Engineering
Bachelor of Science (BSc) in Mechatronics Engineering
Masters in Data science or statistics will be an additional advantage

Job Location
Gazipur

Salary
Negotiable",Bdjobs.com
Engineer - For EDUAID- Job ID - 1293905,"Dhaka, Bangladesh",On-site,Full-time,null,"EDUAID is looking for Engineer

Job Description / Responsibility
Communicating with the registered Customers.
Assessing Customers` needs and preparing plans accordingly.
Prepare engineering report for the customer.
Review client and project data record to ensure completeness, accuracy, and timeliness.
Consult with clients to identify and provide services needed to meet operational objectives, improve business procedures, solve problems, and improve reporting.

Educational Requirements
Bachelor of Science (BSc)",Bdjobs.com
Officer / Sr. Officer (HR) - For A reputed Corporate Hospital - Job ID : 1298395,"Dhaka, Bangladesh",On-site,Full-time,null,"A reputed Corporate Hospital is looking for Officer / Sr. Officer (HR)

Job Description / Responsibility
A reputed and renowned corporate hospital of Bangladesh is looking for an Officer/sr. Officer for their HR department

Job Responsibilities
Assist in developing the Human Resource policies and procedures.
Coordinate with other Departmental Heads on Human Resources requirements.
Coordinate with the recruitment and selection process.
Maintenance of staff file and relevant details.
Assist in the performance appraisal process for annual increment and confirmation.
Assist in preparation of Monthly, Quarterly and Yearly payroll reports.
Communicate with staff and handling matters such as overtime/allowances claim, salary payment, deductions and adjustments.
Administer and ensure that all staff are enjoying benefits by the company policy.
Maintaining and enforcing positive discipline.
Assist in identifying staff training needs.
Assist in coordinating internal and external training for staff.
Ensure evaluation of training is done for all training coordinated.
Keep a proper database on staff resigned in association to payment of final month pay or in lieu of notice notice.
Any other tasks assigned by Management as and when required.

Educational Requirements
Bachelor of Business Administration (BBA) in Human Resource Management
Master of Business Administration (MBA) in Human Resource Management
Skills Required: Recruitment & Selection, Organization Development/ Process Improvement, HRIS/ HR Database Management, Human Resource Management, Disciplinary Action, payroll management, File management, Compensation Benefits Attendance Leave Management, Analytical Skill, Interviewing skill

Experience Requirements
1 to 2 year(s)
The applicants should have experience in the following business area(s):
Hospital

Additional Requirements
Experience in hospital background will be given preference",Bdjobs.com
Associate - Day Shift - For Quantanite Bangladesh Limited (Job ID : 1298538),"Dhaka, Bangladesh",On-site,Full-time,null,"Quantanite Bangladesh Limited is looking for Associate - Day Shift

Job Description / Responsibility
Enter and update information in Google Spreadsheets accurately and promptly.
Processing source information and categorizing following the guidelines.
Conduct thorough online searches using customer-provided criteria.
Meet daily productivity and quality targets efficiently.
Ensure error-free work by reviewing and correcting data entries.
Maintain full attendance and be flexible to work weekends when required for urgent tasks.

Educational Requirements
Bachelor/Honors

Additional Requirements
Fresh graduate (any discipline)
Good English writing ability (Good verbal English communication skills will be a plus)
Sound knowledge of basic computer applications (MS Excel/Google Sheet)
Good understanding of food delivery apps and websites
Quick and Swift with Internet browsing and finding information
Very good attention to details
Positive attitude and ability to work in a team environment
Must be willing to adapt to new challenges & changes
Flexibility to work during weekends (if required) in case of emergencies. (Additional compensation will be there)

Job Location
Dhaka",Bdjobs.com
AI & Data Science Training & Intership,APJ,Remote,Internship,null,"Refonte Infini is a global leader in IT, renowned for delivering high-quality IT and Ed-tech services. Our expertise spans across cutting-edge fields such as Artificial Intelligence (AI), Digital Marketing, Data Science, Data Analytics, UI/UX Design, Web Development, and App Development. We are committed to driving innovation, upholding excellence, and empowering talent around the world through our forward-thinking solutions.

Job Summary:
Refonte Learning is seeking motivated individuals to join our prestigious AI & Data Science Study and Internship Program. This immersive program offers a unique opportunity to gain hands-on experience by working on live global projects alongside our expert AI and Data Science team.
As part of the Refonte Infini Global Training & Internship Program (RIGTIP), you will advance from foundational to advanced levels in AI and Data Science while collaborating with a diverse, global team across Oceania, Asia, Europe, and the Americas. Our flexible work environment allows you to learn and contribute effectively while gaining valuable real-world experience.

Job Description:
We are excited to offer a dynamic internship opportunity for individuals passionate about AI and Data Science. As an AI & Data Science Intern, you will dive into these rapidly evolving fields, gaining hands-on experience while contributing to innovative projects. This role provides the chance to work closely with seasoned professionals, enhancing your skills and making a significant impact in the world of technology.

Responsibilities:
Collaborate with cross-functional teams to develop, deploy, and maintain AI-driven solutions that drive business impact.
Assist in collecting, cleaning, and analyzing data from diverse sources to uncover actionable insights and support data-driven decision-making.
Contribute to the design and implementation of scalable and efficient data pipelines for model training and deployment.
Support the integration of machine learning models into production systems, applying best practices in AI & Data Science to ensure smooth operations.
Participate in designing and optimizing CI/CD pipelines to facilitate continuous integration, testing, and deployment of AI applications on cloud platforms.
Assist in provisioning, configuring, and monitoring infrastructure using leading cloud services such as AWS, Azure, or Google Cloud.
Work closely with data scientists and engineers to translate business requirements into effective technical solutions.
Stay current with emerging technologies and tools in AI & Data Science, and experiment with them to enhance project outcomes.
Contribute to documentation efforts to ensure effective knowledge sharing, continuity, and adherence to best practices across the team.

Projects You Will Work On:
Multi-Cloud AI Infrastructure: Configure, automate, and deploy AI infrastructure across multiple cloud platforms to optimize performance and scalability.
Full-Stack AI Development & DevOps: Engage in the entire development lifecycle, integrating AI solutions with DevOps practices for smooth deployment and maintenance.
Generative AI & Large Language Models: Work with advanced generative AI models and large language models to transform various inputs (text, images, audio, video) into meaningful outputs, utilizing cutting-edge foundation models.
Finance Fraud Detection: Develop sophisticated algorithms for detecting financial fraud, leveraging comprehensive financial data analysis to enhance security and trust.
Recommender Systems: Contribute to the creation of personalized recommendation engines that improve user experience and engagement across different platforms.
Sentiment Analysis: Explore sentiment analysis to derive valuable insights from textual data, shaping and understanding user sentiment.
Intelligent Chatbots: Assist in the development of intelligent chatbots that enhance customer interactions and support experiences.
Image/Audio/Video Classification: Innovate in multimedia technology by working on classification projects that advance the recognition of images, audio, and video.
Text Analysis: Utilize advanced text analysis techniques to uncover hidden patterns in textual data, providing valuable insights and business intelligence.

Qualifications:
Pursuing a Degree: Currently pursuing a degree in a relevant field such as Computer Science, Data Science, or a related discipline, demonstrating a strong commitment to continuous learning and staying abreast of industry trends.
Strong Communication Skills: Excellent written and verbal communication skills, essential for effectively collaborating with team members, articulating complex technical concepts, and contributing to successful teamwork.
Adaptable & Team-Oriented: Proven ability to work both independently and as part of a collaborative team, showcasing adaptability, strong interpersonal skills, and a passion for contributing to collective success.

Benefits:
This internship offers a unique opportunity to gain hands-on experience in AI and Data Science, working on impactful projects and contributing to the development of innovative solutions. You'll have the chance to deepen your expertise in cutting-edge technologies while collaborating with a talented team. If you are passionate about technology and eager to advance your skills, we encourage you to apply and become a part of our dynamic team.

Note:

This position is unpaid. After submitting your application, our team will contact you to proceed with the application details and joining process.

Location:
Remote


Join us on this exciting journey and take the next bold step in shaping your future! 🚀",Refonte Learning
Fresh Start Internship Program,"Dhaka, Bangladesh",On-site,Internship,null,"Background:
The Fresh Start Internship Program is a flagship internship program for Singer Bangladesh Limited that takes place internationally in nations including Thailand, South Africa, Pakistan, Turkey, and Romania. The 90-day Fresh Start Internship Program gives students a chance to gain valuable experience working on various tasks and projects at the company's corporate office and factory.

Job Responsibility:
Work collaboratively with team members from different departments to support various projects and initiatives.
Assist in the planning, coordination, and execution of projects related to assigned departments.
Participate in safety initiatives and adhere to all safety guidelines to maintain a safe working environment.
Contribute to the development of standard operating procedures (SOPs) and work instructions to enhance productivity and quality in the assigned department/ project.
Contribute innovative ideas and insights to enhance project outcomes.
Perform operational, strategic, and research tasks as directed by the advisor.

Job Location: 
For Engineers: Manufacturing Plant- Narayanganj (Araihazar),
Others: Corporate Office- Gulshan 2

Educational Requirements:
Bachelor of Business Administration (BBA) in Marketing/ Human Resources/ Finance/ Accounting/ Supply Chain/ Operational Management/ International Business
Bachelor of Science (BSc) in Electrical & Electronic Engineering/ Mechanical Engineering/ Industrial and Production Engineering/ Mechatronics and Industrial Engineering/ Mechanical and Production Engineering/ Mechatronics Engineering/ Materials and Metallurgical Engineering

Internship Allowance: 15,000 tk/ month.

Internship Duration: 3 months.

Read Before Apply: All applicants are kindly requested to click on the link and complete the form: https://forms.gle/gG5kM1W2ryBXRjHd7

Application Deadline: 06 November, 2024",Singer Bangladesh Ltd
Software Engineer Intern,APAC,Remote,Contract,null,"Key Responsibilities:
Assist in the design, development, and testing of software applications.
Collaborate with team members to troubleshoot and resolve software issues.
Write clean, maintainable, and efficient code.
Participate in code reviews and contribute to team discussions.
Document development processes and solutions.
Support the team in various software development tasks as needed.
Qualifications:
Currently pursuing a degree in Computer Science, Software Engineering, or a related field.
Familiarity with programming languages such as Java, Python, C++, or JavaScript.
Understanding of software development principles and methodologies (e.g., Agile, Scrum).
Basic knowledge of databases and SQL.
Strong problem-solving skills and attention to detail.
Excellent communication and teamwork abilities.
What We Offer:
Hands-on experience in a dynamic work environment.
Mentorship from experienced professionals in the field.
Opportunities for professional growth and development.",Masan Group
Graduate AI/ML Research Associate,"Dhaka, Dhaka, Bangladesh",Remote,Contract,null,"Are you a recent Computer Science/AI graduate passionate about Artificial Intelligence? As a part of Kounsel AI/ML Research team, you will take part in every step of Kounsel AI-powered projects. From in-depth research and analysis to the development, implementation, and testing of AI solutions, you will help us shape our product and play a part in creating the best experience for Kounsel’s users. You will have the freedom and opportunity to unleash your passion for Artificial Intelligence and technical skills, further enhance your abilities, and be part of a remote, dynamic, international team that values your input and passion. Cutting-edge, AI-driven projects, filled with passion for innovation are a part of Kounsel’s core.

Graduate Program Details

Position: Graduate Internship

Location: Remote

Duration: 3 months

Compensation: Paid

Work Hours: USA Business Hours. Timezone: EST, PST, CST or MST

Responsibilities

Conduct in-depth research and analysis on current AI trends and technologies to stay updated and identify potential opportunities for implementation 
Collaborate with cross-functional teams to identify business problems and develop AI strategies and solutions to address them 
Build and maintain relationships with stakeholders to understand their needs and provide tailored AI solutions 
Develop and implement AI models, algorithms, and processes to optimize business operations and enhance customer experience 
Perform thorough testing and evaluation of AI solutions to ensure accuracy, efficiency, and reliability 
Monitor and analyze the performance of AI solutions and make necessary adjustments to improve their effectiveness 
Communicate complex technical concepts to non-technical stakeholders to facilitate understanding and collaboration 

Requirements

Requirements

Kounsel only accepts applications submitted through the Kounsel Graduate Program webpage

Cumulative GPA of 3.0 or higher (Please upload ALL transcripts as part of the application process) 
Recently completed a degree in Computer Science, Machine Learning, or a related field. 
Basic Git experience 
Excellent written and oral communication, and presentation skills 
Experience using Python, and Java or Kotlin 
Experience with deep learning frameworks such as Pytorch or Tensorflow 
Experience in ML, Gen AI, NLP, LLM Model Development 

General Requirements 

Completed a Bachelor's or Master's degree within the last two years. 
Cumulative GPA of 3.0 or higher (Please upload ALL transcripts as part of the application process). 
1 year of relevant experience. 
Excellent written and oral communication, and presentation skills in English. 
Strong problem-solving abilities and attention to detail 
Ability to work independently and manage time effectively, while also contributing to a team environment. 
Must have the equipment and environment to work remotely (laptop/computer, reliable internet connection, quiet, conducive space). 

How To Apply

Send your Resume, Transcripts, and Cover letter describing your skills and experience through this web page: https://site.kounsel.io/graduate-program. Take note that only shortlisted candidates will be contacted.

Benefits

Benefits

Cutting-Edge Projects: Dive into the exciting project that challenges your skills and lets you explore new marketing territories. 
AI-Powered Projects: Dive headfirst into projects that integrate AI, challenging your skills and opening doors to explore uncharted territories. 
Work-Life Harmony: Whether you're a digital nomad or simply prefer the comfort of your own space, at Kounsel, you have the freedom to design and create from anywhere across the globe. 
Diversity: Be part of a vibrant, international, and inclusive team where diverse ideas are celebrated. 
Team Spirit: Be part of a supportive and driven team that celebrates successes together. 
Recognition Rally: Your achievements won't go unnoticed. Expect regular recognition and applause. 

Company Overview

Based in San Francisco, Kounsel isn't your typical tech startup. We're on a mission to revolutionize counseling services with cutting-edge technologies and AI-driven projects, offering a wide array of expertise in health, law, veterinary, and more.

At Kounsel, innovation drives everything we do. With a keen focus on customer satisfaction, we continuously refine our product using cutting-edge technology to deliver exceptional services.

Our team is an international, diverse blend of talents, united by a shared commitment to honesty, hard work, and creativity.",kounsel
Graduate Data Scientist,"Dhaka, Dhaka, Bangladesh",Remote,Contract,null,"Are you a recent BBA or M.Sc. graduate passionate about Data Science? As a part of Kounsel team, you will take part in every step of Kounsel product experience. From data gathering and analysis, and development of scripts and statistical tools to visualization and presentation, you will play a part in using data to improve Kounsel’s products. You will have the freedom and opportunity to unleash your passion for data and technical skills, further enhance your abilities, and be part of a remote, dynamic, international team that values your input and passion. Cutting-edge, AI-driven projects, filled with passion for innovation are a part of Kounsel’s core.

Graduate Program Details

Position: Graduate Program

Location: Remote

Duration: 3 months

Compensation: Paid

Work Hours: USA Business Hours

Timezone: EST, PST, CST or MST

Responsibilities

Applied experience with machine learning on large datasets. 
You will be responsible for project scoping with business stakeholders, analyzing and building massive datasets, developing production-ready statistical tools, visualizing and presenting model performance, and facilitating system integration and user adoption of the solutions. 
Work closely with the product owner, UX designer, Development, and DevOps teams, perform testing activities in an Agile development environment, and collaboratively deliver high-quality applications. 
Conduct analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations. 
Build and prototype analysis pipelines iteratively to provide insights at scale 
You will be tasked with navigating ambiguity and chaos as you guide long-term projects all the way from ideation to impact 
Work with technical and non-technical stakeholders to identify key business problems that can feasibly be solved using data science methods 
Develop SQL scripts and ETL pipelines using a variety of traditional as well as large-scale distributed data systems 
Write Python scripts to analyze large data sets, perform feature engineering, and train/test/track AI/ML models 
Develop dashboards to facilitate reporting and tracking of AI/ML models 
Partner with system architects and application engineers to integrate production models into systems 

Requirements

Job-Related Requirements

Kounsel only accepts applications submitted through the Kounsel graduate programs webpage

Cumulative GPA of 3.0 or higher (Please upload ALL transcripts as part of the application process) 
Recently completed a Bachelors or Masters program (e.g., Statistics, Operations Research, Bioinformatics, Economics, Computational Biology, Computer Science, Mathematics, Physics, Electrical Engineering, Industrial Engineering). 
Excellent written and oral communication, and presentation skills 
Basic Git experience 
1 year experience using Kotlin, Java, Python, or C++. 
1-year experience with statistical software (e.g., R, Python, MATLAB, pandas) and database languages (e.g., SQL). 

General Requirements

Completed Bachelor's degree within the last two years or enrolled in a Master's or PhD program. 
Excellent written and oral communication, and presentation skills in English. 
Strong problem-solving abilities and attention to detail 
Ability to work independently and manage time effectively, while also contributing to a team environment. 
Must have the equipment and environment to work remotely (laptop/computer, reliable internet connection, quiet, conducive space). 

How to apply

Send your Resume, Transcripts, and Cover letter describing your skills and experience through this web page: https://site.kounsel.io/graduate-program . Take note that only shortlisted candidates will be contacted.

Benefits

Cutting-Edge Projects: Dive into the exciting project that challenges your skills and lets you explore new marketing territories. 
AI-Powered Projects: Dive headfirst into projects that integrate AI, challenging your skills and opening doors to explore uncharted territories. 
Work-Life Harmony: Whether you're a digital nomad or simply prefer the comfort of your own space, at Kounsel, you have the freedom to design and create from anywhere across the globe. 
Diversity: Be part of a vibrant, international, and inclusive team where diverse ideas are celebrated. 
Team Spirit: Be part of a supportive and driven team that celebrates successes together. 
Recognition Rally: Your achievements won't go unnoticed. Expect regular recognition and applause. 

Company Overview

Based in San Francisco, Kounsel isn't your typical tech startup. We're on a mission to revolutionize counseling services with cutting-edge technologies and AI-driven projects, offering a wide array of expertise in health, law, veterinary, and more.

At Kounsel, innovation drives everything we do. With a keen focus on customer satisfaction, we continuously refine our product using cutting-edge technology to deliver exceptional services.

Our team is an international, diverse blend of talents, united by a shared commitment to honesty, hard work, and creativity.",kounsel
Associate Data Analyst,"Dhaka, Dhaka, Bangladesh",On-site,Full-time,null,"At Optimizely, we're on a mission to help people unlock their digital potential. We do that by reinventing how marketing and product teams work to create and optimize digital experiences across all channels. With Optimizely One, our industry-first operating system for marketers, we offer teams flexibility and choice to build their stack their way with our fully SaaS, fully decoupled, and highly composable solution.

We are proud to help more than 10,000 businesses, including H&M, PayPal, Zoom, and Toyota, enrich their customer lifetime value, increase revenue and grow their brands. Our innovation and excellence have earned us numerous recognitions as a leader by industry analysts such as Gartner, Forrester, and IDC, reinforcing our role as a trailblazer in MarTech.

At our core, we believe work is about more than just numbers -- it's about the people. Our culture is dynamic and constantly evolving, shaped by every employee, their actions and their stories. With over 1500 Optimizers spread across 12 global locations, our diverse team embodies the ""One Optimizely"" spirit, emphasizing collaboration and continuous improvement, while fostering a culture where every voice is heard and valued.

Introduction

Optimizely is seeking a motivated, experienced, and knowledgeable Associate Data Analyst to join the Data Operations team. You will work cross-functionally with Sales, Data Services, Finance, Customer Success, Order Management, and Marketing to monitor, govern, analyze, visualize, and interpret data. You will specialize in identifying key patterns in business data, solving pain points for stakeholders relating to data, and interpreting and visualizing data for strategic decision-making.

Job Responsibilities

 Interpret data, analyze results, and provide ongoing reports. 
 Assist with trend reporting on data inaccuracies to help operations leadership in seeking to understand root causes. 
 Assist with improving data quality within the CRM and ensuring the proper functionality of related integrations. 
 Assisting various stakeholders across the business with their data needs such as report or dashboard building, list generation, and data validation among others 
 Assist in the systematic assignment of records and data for Sales, Partner Ops, and Customer Success Teams 
 Identify and root out redundancies in data or bad data through deduplication, data segmentation and cleansing. 
 Take an active part in identifying and bridging gaps in data accuracy and inefficiencies in day-to-day automated processes within systems. 

Knowledge And Experience

 1+ year(s) working experience as a data analyst 
 Technical expertise regarding data models and segmentation techniques. Some familiarity or experience with SQL/SOQL is preferred. 
 Strong knowledge of Microsoft Excel, with experience in other analytics and visualization tools such as PowerBI, Python is preferred. 
 Some prior knowledge of CRM software such as Salesforce, Hubspot etc is preferred. 
 Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy. 
 Strong communication skills and the ability to disseminate complex information across different groups of stakeholders. 

Education

Bachelor's or Master's degree in Business, Economics, Computer Science or equivalent.

Our new, cutting-edge office space in Dhaka is a testament to our dedication to enhancing your work experience. This state-of-the-art workspace features open workstations, a fully equipped kitchen, a nap room for relaxation, a tranquil zen garden, and an entertaining area, all designed to provide you with the ideal environment to thrive and grow.

As part of our commitment to you, here are other benefits and perks you can expect:

 Best-in-class compensation plans
 Two annual festival bonuses
 Recognition and rewards programs
 Paid Maternity (4 months) & Paternity Leave (12 weeks)
 Flexible vacations days and working hours
 Annual Work/Service Anniversary Leave
 Comprehensive medical & life insurance for you and your dependants
 Volunteering opportunities to make a difference
 Chance to work alongside our incredible global team
 Monthly and quarterly regional and global team-building events
 Communal transport facilities inside Dhaka to and from the office
 Free catered lunch every day
 An agile performance review process that encourages ongoing transparency between managers and direct reports
 Enablement program and soft skill training to support internal career growth and development

At Optimizely, our standardized language is English, and it is crucial to have good English communication skills to be successful in your global role. All our external and cross-location communication is done in US English (en-us), but internally you can speak in whichever native language you most identify with.

Optimizely is committed to a diverse and inclusive workplace. Optimizely is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status.",Optimizely
